Comment,Designator,Footprint,LCSC Part #
0,R14 R16,0402,
0.1uF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C16 C17 C18 C19 C26 C27 C28 C29 C30 C31 C32 C33 C34 C38 C40 C45 C46 C48 C49 C50 C51 C52,0402,
1.0uF,C14 C15 C43 C44,0402,
1K,R5 R15,0402,
1N5819HW-7,D12,SOD3715X145N,
2.2K,R6 R7,0402,
2.2UF,C20,0402,
2.2nH,L1,INDC1608X100N,
2.2uH,L3 L4,INDC2016X100N,
3.3uH,L2,IND_LQH2MCN120K02L,
4.7uF,C35 C36 C37 C39,0402,
10k,R1 R3 R23 R25,0402,
10uF,C21 C22 C23 C24 C25,0402,
10uF,C47,0402-TIGHT,
12MHz,Y1,CRYSTAL-SMD-3.2X2.5MM,
15pF,C41 C42,0402,
27,R12 R13,0402,
33,R11,0402,
47K,R9,0402,
100K,R22,0402,
100OHM,R2,0402,
470K,R10,0402,
APS6404L-3SQR-ZR,U1,APS6404L-3SQR-ZR,
BLUE,D11,LED-0603,
BSS138,Q2,SOT95P240X111-3N,
DNF,R4,0402,
EAST1616RGYA0,LED1,EAST1616RGYA0,
ESP32-C3-MINI-1-N4,U9,XCVR_ESP32-C3-MINI-1-N4,
JS202011JCQN,S3,SW_JS202011JCQN,
JST-PH=2,J1,JST-2-SMD,
LSM6DS3TR-C,U6,LGA-14-2.5X3MM,
MLT-5020,LS1,XDCR_CMT-8504-100-SMT-TR,
MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,S1 S2 S4,TACTILE_SWITCH_SMD_4.6X2.8MM,
NPM1300-QEAA-R,IC2,QFN50P500X500X90-33N,
Qwiic,J2,1X04_1MM_RA,
RP2350A,U2,RP2350A,
SK6812-EJ,D1 D2 D3 D4 D5 D6 D7 D8 D9 D10,LED_SK6812-E,
SM03B-SRSS-TB(LF)(SN),J4,JST_SM03B-SRSS-TB(LF)(SN),
SN74LVC1T45DBVRG4,U15,SOT95P280X145-6N,
SPK2611HM7H-1-6,MK1,MIC_SPK2611HM7H-1-6,
TPB1 27,1.8V,B1 27,
TPB1 27,3.3V,B1 27,
TPB1 27,GND,B1 27,
TPB1 27,VBATT,B1 27,
TPB1 27,VBUS,B1 27,
TPB1 27,VSYS,B1 27,
TPB1 27,V_USB_OUT,B1 27,
TXS0108EPWRG4,U5,SOP65P640X120-20N,
TYPE-C-31-M-12,CONN1,HRO_TYPE-C-31-M-12,
W25Q64JVXGIQ,IC1,SON80P400X400X50-9N,
XTSD04GLGEAG,U3,SON127P600X800X95-8N,
